"id","genus","species","latbi","commonName","plantNickname","year","budburst","leafout","coloredLeaves","DBH","accessionDate","lat","long"
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A",2016,118,118,NA,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A",2017,110,118,285,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A",2018,118,122,258,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A",2019,108,111,253,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A",2020,125,127,259,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A",2021,113,115,NA,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A",2022,114,116,251,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A",2023,104,112,NA,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A",2024,NA,123,NA,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R",2016,118,122,285,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R",2017,100,117,306,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R",2018,118,122,273,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R",2019,108,111,251,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R",2020,124,126,260,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R",2021,113,113,265,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R",2022,114,119,NA,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R",2023,104,112,NA,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R",2024,119,119,NA,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_S","Carya","glabra","Carya glabra","Pignut hickory","2019*S",2016,122,122,285,67.4,"10-19-1883",42.29994973,-71.12573747
"CAGL_2019_S","Carya","glabra","Carya glabra","Pignut hickory","2019*S",2017,100,118,285,67.4,"10-19-1883",42.29994973,-71.12573747
"CAGL_2019_S","Carya","glabra","Carya glabra","Pignut hickory","2019*S",2018,NA,123,258,67.4,"10-19-1883",42.29994973,-71.12573747
"CAGL_2019_S","Carya","glabra","Carya glabra","Pignut hickory","2019*S",2019,108,115,260,67.4,"10-19-1883",42.29994973,-71.12573747
"CAGL_2019_S","Carya","glabra","Carya glabra","Pignut hickory","2019*S",2020,125,127,251,67.4,"10-19-1883",42.29994973,-71.12573747
